well,bf,gfp,time,experiment,defect,nuclease
5,20,14,920,CGG_SpCas9,CGG,SpCas9
5,20,14,940,CGG_SpCas9,CGG,SpCas9
5,22,14,960,CGG_SpCas9,CGG,SpCas9
5,22,16,980,CGG_SpCas9,CGG,SpCas9
5,28,19,1000,CGG_SpCas9,CGG,SpCas9
5,33,23,1020,CGG_SpCas9,CGG,SpCas9
5,36,26,1040,CGG_SpCas9,CGG,SpCas9
5,41,30,1060,CGG_SpCas9,CGG,SpCas9
5,43,30,1080,CGG_SpCas9,CGG,SpCas9
5,44,35,1100,CGG_SpCas9,CGG,SpCas9
5,45,35,1120,CGG_SpCas9,CGG,SpCas9
5,49,38,1140,CGG_SpCas9,CGG,SpCas9
5,51,40,1160,CGG_SpCas9,CGG,SpCas9
5,52,37,1180,CGG_SpCas9,CGG,SpCas9
5,52,38,1200,CGG_SpCas9,CGG,SpCas9
5,52,40,1220,CGG_SpCas9,CGG,SpCas9
5,54,41,1240,CGG_SpCas9,CGG,SpCas9
5,54,41,1260,CGG_SpCas9,CGG,SpCas9
5,54,44,1280,CGG_SpCas9,CGG,SpCas9
5,57,49,1300,CGG_SpCas9,CGG,SpCas9
5,57,49,1320,CGG_SpCas9,CGG,SpCas9
5,58,49,1340,CGG_SpCas9,CGG,SpCas9
5,59,51,1360,CGG_SpCas9,CGG,SpCas9
5,63,59,1380,CGG_SpCas9,CGG,SpCas9
5,67,60,1400,CGG_SpCas9,CGG,SpCas9
5,67,60,1420,CGG_SpCas9,CGG,SpCas9
5,67,58,1440,CGG_SpCas9,CGG,SpCas9
6,1,0,0,CGG_SpCas9,CGG,SpCas9
6,1,0,20,CGG_SpCas9,CGG,SpCas9
6,1,0,40,CGG_SpCas9,CGG,SpCas9
6,1,0,60,CGG_SpCas9,CGG,SpCas9
6,1,0,80,CGG_SpCas9,CGG,SpCas9
6,1,0,100,CGG_SpCas9,CGG,SpCas9
6,1,0,120,CGG_SpCas9,CGG,SpCas9
6,1,0,140,CGG_SpCas9,CGG,SpCas9
6,1,0,160,CGG_SpCas9,CGG,SpCas9
6,1,0,180,CGG_SpCas9,CGG,SpCas9
6,1,0,200,CGG_SpCas9,CGG,SpCas9
6,1,0,220,CGG_SpCas9,CGG,SpCas9
6,2,0,240,CGG_SpCas9,CGG,SpCas9
6,2,0,260,CGG_SpCas9,CGG,SpCas9
6,2,0,280,CGG_SpCas9,CGG,SpCas9
6,2,0,300,CGG_SpCas9,CGG,SpCas9
6,2,0,320,CGG_SpCas9,CGG,SpCas9
6,2,0,340,CGG_SpCas9,CGG,SpCas9
6,2,0,360,CGG_SpCas9,CGG,SpCas9
6,2,0,380,CGG_SpCas9,CGG,SpCas9
6,2,0,400,CGG_SpCas9,CGG,SpCas9
6,2,0,420,CGG_SpCas9,CGG,SpCas9
6,2,0,440,CGG_SpCas9,CGG,SpCas9
6,2,0,460,CGG_SpCas9,CGG,SpCas9
6,2,0,480,CGG_SpCas9,CGG,SpCas9
6,3,0,500,CGG_SpCas9,CGG,SpCas9
6,3,0,520,CGG_SpCas9,CGG,SpCas9
6,3,0,540,CGG_SpCas9,CGG,SpCas9
6,5,0,560,CGG_SpCas9,CGG,SpCas9
6,5,0,580,CGG_SpCas9,CGG,SpCas9
6,5,0,600,CGG_SpCas9,CGG,SpCas9
6,6,1,620,CGG_SpCas9,CGG,SpCas9
6,7,2,640,CGG_SpCas9,CGG,SpCas9
6,7,2,660,CGG_SpCas9,CGG,SpCas9
6,8,2,680,CGG_SpCas9,CGG,SpCas9
6,9,2,700,CGG_SpCas9,CGG,SpCas9
6,10,3,720,CGG_SpCas9,CGG,SpCas9
6,11,6,740,CGG_SpCas9,CGG,SpCas9
6,11,7,760,CGG_SpCas9,CGG,SpCas9
6,11,8,780,CGG_SpCas9,CGG,SpCas9
6,11,9,800,CGG_SpCas9,CGG,SpCas9
6,13,10,820,CGG_SpCas9,CGG,SpCas9
6,13,10,840,CGG_SpCas9,CGG,SpCas9
6,16,11,860,CGG_SpCas9,CGG,SpCas9
6,17,13,880,CGG_SpCas9,CGG,SpCas9
6,17,12,900,CGG_SpCas9,CGG,SpCas9
6,21,15,920,CGG_SpCas9,CGG,SpCas9
6,22,16,940,CGG_SpCas9,CGG,SpCas9
6,22,16,960,CGG_SpCas9,CGG,SpCas9
6,25,20,980,CGG_SpCas9,CGG,SpCas9
6,25,20,1000,CGG_SpCas9,CGG,SpCas9
6,29,23,1020,CGG_SpCas9,CGG,SpCas9
6,31,26,1040,CGG_SpCas9,CGG,SpCas9
6,34,26,1060,CGG_SpCas9,CGG,SpCas9
6,35,27,1080,CGG_SpCas9,CGG,SpCas9
6,42,33,1100,CGG_SpCas9,CGG,SpCas9
6,49,40,1120,CGG_SpCas9,CGG,SpCas9
6,51,44,1140,CGG_SpCas9,CGG,SpCas9
6,52,45,1160,CGG_SpCas9,CGG,SpCas9
6,51,46,1180,CGG_SpCas9,CGG,SpCas9
6,53,46,1200,CGG_SpCas9,CGG,SpCas9
6,53,50,1220,CGG_SpCas9,CGG,SpCas9
6,56,50,1240,CGG_SpCas9,CGG,SpCas9
6,63,57,1260,CGG_SpCas9,CGG,SpCas9
6,65,59,1280,CGG_SpCas9,CGG,SpCas9
6,70,66,1300,CGG_SpCas9,CGG,SpCas9
6,74,70,1320,CGG_SpCas9,CGG,SpCas9
6,75,71,1340,CGG_SpCas9,CGG,SpCas9
6,77,71,1360,CGG_SpCas9,CGG,SpCas9
6,77,71,1380,CGG_SpCas9,CGG,SpCas9
6,78,73,1400,CGG_SpCas9,CGG,SpCas9
6,83,80,1420,CGG_SpCas9,CGG,SpCas9
6,85,82,1440,CGG_SpCas9,CGG,SpCas9
7,1,0,0,CGG_SpCas9,CGG,SpCas9
7,1,0,20,CGG_SpCas9,CGG,SpCas9
7,1,0,40,CGG_SpCas9,CGG,SpCas9
7,1,0,60,CGG_SpCas9,CGG,SpCas9
7,1,0,80,CGG_SpCas9,CGG,SpCas9
7,1,0,100,CGG_SpCas9,CGG,SpCas9
7,1,0,120,CGG_SpCas9,CGG,SpCas9
7,1,0,140,CGG_SpCas9,CGG,SpCas9
7,1,0,160,CGG_SpCas9,CGG,SpCas9
7,1,0,180,CGG_SpCas9,CGG,SpCas9
7,1,0,200,CGG_SpCas9,CGG,SpCas9
7,1,0,220,CGG_SpCas9,CGG,SpCas9
7,1,0,240,CGG_SpCas9,CGG,SpCas9
7,1,0,260,CGG_SpCas9,CGG,SpCas9
7,1,0,280,CGG_SpCas9,CGG,SpCas9
7,1,0,300,CGG_SpCas9,CGG,SpCas9
7,1,0,320,CGG_SpCas9,CGG,SpCas9
7,1,0,340,CGG_SpCas9,CGG,SpCas9
7,1,0,360,CGG_SpCas9,CGG,SpCas9
7,1,0,380,CGG_SpCas9,CGG,SpCas9
7,1,0,400,CGG_SpCas9,CGG,SpCas9
7,3,0,420,CGG_SpCas9,CGG,SpCas9
7,3,1,440,CGG_SpCas9,CGG,SpCas9
7,4,1,460,CGG_SpCas9,CGG,SpCas9
7,4,1,480,CGG_SpCas9,CGG,SpCas9
7,4,2,500,CGG_SpCas9,CGG,SpCas9
7,5,2,520,CGG_SpCas9,CGG,SpCas9
7,5,2,540,CGG_SpCas9,CGG,SpCas9
7,7,2,560,CGG_SpCas9,CGG,SpCas9
7,10,2,580,CGG_SpCas9,CGG,SpCas9
7,12,2,600,CGG_SpCas9,CGG,SpCas9
7,12,2,620,CGG_SpCas9,CGG,SpCas9
7,13,3,640,CGG_SpCas9,CGG,SpCas9
7,15,4,660,CGG_SpCas9,CGG,SpCas9
7,18,3,680,CGG_SpCas9,CGG,SpCas9
7,18,5,700,CGG_SpCas9,CGG,SpCas9
7,18,4,720,CGG_SpCas9,CGG,SpCas9
7,24,4,740,CGG_SpCas9,CGG,SpCas9
7,27,8,760,CGG_SpCas9,CGG,SpCas9
7,28,6,780,CGG_SpCas9,CGG,SpCas9
7,30,8,800,CGG_SpCas9,CGG,SpCas9
7,30,14,820,CGG_SpCas9,CGG,SpCas9
7,32,16,840,CGG_SpCas9,CGG,SpCas9
7,42,20,860,CGG_SpCas9,CGG,SpCas9
7,48,25,880,CGG_SpCas9,CGG,SpCas9
7,50,32,900,CGG_SpCas9,CGG,SpCas9
7,52,38,920,CGG_SpCas9,CGG,SpCas9
7,53,44,940,CGG_SpCas9,CGG,SpCas9
7,58,42,960,CGG_SpCas9,CGG,SpCas9
7,67,54,980,CGG_SpCas9,CGG,SpCas9
7,71,59,1000,CGG_SpCas9,CGG,SpCas9
7,80,63,1020,CGG_SpCas9,CGG,SpCas9
